meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI,trueR
NaN,NaN,NaN,0.0,0.0,54,113,0.788597398856279
0.3648434500379463,0.13492015892724968,0.714927772465319,105706.0,1.388612477,5,11,0.413479509302622
2.117671246681881,1.4883181331781081,2.8622717610638326,146149.0,1.044578402,43,59,1.83408509482631
2.5435028210465926,1.948458333023611,3.226774510008541,159119.0,1.258670302,71,129,2.55015685083809
0.24693867466117417,0.11898683777607535,0.42566455683314247,109260.0,1.317411161,9,18,0.325197713258436
0.515752777627193,0.3083880866709834,0.7757515095090136,113200.0,1.063557875,18,29,0.559193405877145
1.2973934903439934,0.9037768102555293,1.7609777327180942,127383.0,1.509654941,37,67,1.18372225232323
1.7529445888743314,1.292763865651993,2.2778938910248336,137713.0,1.843600466,52,105,2.14474376846968
1.1063957961271693,0.7872195152167469,1.4888646838600008,124468.0,1.517201645,40,80,1.00085532814407
0.822689931186835,0.5569501332550112,1.1332517214899118,119339.0,1.839100342,32,52,0.625365278062987
1.7682807294974,1.3682116878525652,2.233964203563665,140641.0,1.837240602,71,131,1.46179688779046
NaN,NaN,NaN,0.0,0.0,68,107,0.593142392539861
0.7594220868598108,0.4304573860247714,1.190794650289658,116908.0,1.447326596,15,25,0.627340336997008
1.0019026907110338,0.6512643799512452,1.430502795555299,124900.0,0.8800944,26,39,1.10689340138443
2.9231027815283315,2.3016121285072524,3.6212709309810616,189451.0,1.756215407,87,137,3.3263592538939
0.6800178466039462,0.4579803183105916,0.9529752020957805,121817.0,1.46442331,29,61,0.822863862180174
0.913244085788933,0.6536092294528831,1.2235220143979988,128965.0,1.26819724,42,69,0.985362738755946
0.1638291583736781,0.06497390877006141,0.30808376663557674,111237.0,1.247137795,6,9,0.141415984395427
1.0257439850619967,0.7085619014121766,1.4152650662295205,126939.0,1.756375587,32,51,1.09265117981863
0.7282576870126084,0.4426783283147986,1.0817958009028117,118005.0,1.448446054,19,34,0.697103276761594
0.6182476806048669,0.3429983381350632,0.976220858420942,115029.0,1.577032684,14,26,0.914569926490755
2.037081609363489,1.4612606780732709,2.72891881968167,153785.0,2.421808836,44,78,1.97630267039645
NaN,NaN,NaN,0.0,0.0,95,134,1.84318605109389
1.0402590681189936,0.6991430693565405,1.4539358245573704,131374.0,1.575414709,30,44,0.941213151862124
1.03901579062093,0.7461624527423342,1.389910910855594,135764.0,0.924986843,41,58,0.961135860938078
1.2911245048019087,0.965883949527097,1.6665759691937945,145550.0,1.39797194,54,68,1.25871115066278
1.192626871446399,0.8903857051761443,1.534137958382575,143334.0,1.214856957,54,66,1.03918091676413
1.1165406280044812,0.8383012762065506,1.4406196361501027,142949.0,1.662393312,55,70,0.949307447343238
0.5633505472285986,0.3779172984388435,0.7864238293806239,127221.0,1.374275217,28,35,0.424079271442611
0.2511890034389169,0.12500031459600516,0.425928361183554,116579.0,1.642847799,10,15,0.390502229581569
1.8008346500468875,1.371820415552333,2.2933221963151595,161169.0,1.899909941,60,81,1.85276765997416
0.2551277074785046,0.11570482664621588,0.4497641059794285,112340.0,1.552243583,8,17,0.411957051536754
1.4526975262374016,1.058173654472509,1.9219468720621151,146820.0,2.166407867,45,57,1.38391634879124
NaN,NaN,NaN,0.0,0.0,130,165,3.90381995723013
1.6523884236906488,1.2755177985331947,2.08031239896185,169053.0,1.695317406,68,85,1.58679265717646
0.7893994228372344,0.5826236531581425,1.0252211763002532,148568.0,0.996043575,48,60,0.899255381652473
0.8559877600593944,0.639223503758468,1.0990233990492566,152042.0,1.481936903,53,70,1.12796428857215
0.8045972728461719,0.5936526748847477,1.050575363553277,147750.0,1.402480338,46,51,0.725603846336275
1.6135771774689547,1.2936955169588111,1.9640797694705059,178164.0,2.055482492,89,115,1.85893449303674
1.509640140119756,1.2189357492836992,1.8221894472065867,178904.0,1.791223313,97,120,1.472912026219
0.242720173275998,0.13994252607066596,0.36897029981537643,139581.0,1.644191115,17,21,0.238992507295716
0.75442272912968,0.5518567162552463,0.989041158103231,148590.0,1.912825316,46,59,0.765385016214267
1.6484319382202546,1.3187259969001177,2.0100433999359293,178633.0,2.70749899,88,118,1.60766070599407
0.8860604218932238,0.6622332699347906,1.1413633358974904,150096.0,1.852160918,52,64,0.828736554178904
